text,sentiment,clean_text
@USAirways is the real MVP for holding up the flight connecting Philly to Tampa.,negative,is the real mvp for holding up the flight connecting philly to tampa 
@JetBlue I would love for you to fly my best friend home to PVD for a weekend. 😊 http://t.co/cH0NmjyMgh,positive,i would love for you to fly my best friend home to pvd for a weekend   
@USAirways well then that is a horrible flaw in your system. 2 hours in the past day I've wasted. I've got a job &amp; family this is crazy,negative,well then that is a horrible flaw in your system  2 hours in the past day i ve wasted  i ve got a job  amp  family this is crazy
@AmericanAir no response to DM or email yet.  customer service?,negative,no response to dm or email yet  customer service 
@USAirways @PHLAirport flight 837 landed at 10:30 pm and we are still on the plane. Help!!!!!!,negative,flight 837 landed at 10 30 pm and we are still on the plane  help      
"@USAirways had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag",negative,had baggage lost last night  no call from us airways and no bags and nobody answering phone  badcustomersrvice  whereismybag
"Nice try @AmericanAir I heard your crew whisper ""she's still at the hotel, she probably doesn't think she has to work until tomorrow""",negative,nice try i heard your crew whisper  she s still at the hotel  she probably doesn t think she has to work until tomorrow 
@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,negative,ahhhh your silence is golden now  this tops it all  anyone get fired 
"@USAirways we're glad to hear it. Out of curiosity, what causes such flight patterns?",neutral,we re glad to hear it  out of curiosity  what causes such flight patterns 
@SouthwestAir @LukeWyckoff: her name is Jane and she wanted was a call. 617-653-3040,negative,her name is jane and she wanted was a call  617 653 3040
@USAirways have you heard about the debacle at DCA? What is happening with our New Orleans flight? #wewanttoknow,negative,have you heard about the debacle at dca  what is happening with our new orleans flight   wewanttoknow
@AmericanAir for my delay and you know what I get a we don't credit anybody back a supervisor who cut me off when speaking,negative,for my delay and you know what i get a we don t credit anybody back a supervisor who cut me off when speaking
"@united, American never had my bags apparently. United never switched them over. Had to go back to United Baggage Service.",negative,american never had my bags apparently  united never switched them over  had to go back to united baggage service 
@JetBlue they miraculously fixed the plane #kudos to shoe ever it was,positive,they miraculously fixed the plane  kudos to shoe ever it was
@SouthwestAir I'm Flight Booking Problems a flight to Vegas. Any good promo codes??,neutral,i m flight booking problems a flight to vegas  any good promo codes  
@united your overall experience of flying is not friendly,negative,your overall experience of flying is not friendly
@united thanks we'll be in touch!,positive,thanks we ll be in touch 
@USAirways How can I speak to a human? Need 2 find bag delayed 2/21. Website and 800 # are telling me 2 different things! Got hung up on 2x,negative,how can i speak to a human  need 2 find bag delayed 2 21  website and 800   are telling me 2 different things  got hung up on 2x
"@JetBlue You never got my wife to her destination and you expect a $75.00 ""goodwill credit"" will  make everything hunky-dory. You blew it.",negative,you never got my wife to her destination and you expect a  75 00  goodwill credit  will make everything hunky dory  you blew it 
@AmericanAir HELP! Attempting to Cancelled Flight a flight but can't get thru 800 number. Call gets dropped when saying Agent. flight is 2/24.,negative,help  attempting to cancelled flight a flight but can t get thru 800 number  call gets dropped when saying agent  flight is 2 24 
@USAirways sits on a throne of lies,negative,sits on a throne of lies
@united not able to DM you my confirmation number,negative,not able to dm you my confirmation number
"@AmericanAir nothing, you have done enough.",negative,nothing  you have done enough 
@JetBlue haha no need to apologize 😁 I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,positive,haha no need to apologize   i ll be flight booking problems sooner than late flightr  i love jetblue
"@united shes been rescheduled for today, but with the frigid cold, being a possible reason for ""maintenance"" it could be the same issue 2day",negative,shes been rescheduled for today  but with the frigid cold  being a possible reason for  maintenance  it could be the same issue 2day
@AmericanAir not enough push crews for JFK = 1.5 he delay and counting....,negative,not enough push crews for jfk   1 5 he delay and counting    
@united Thank you!,positive,thank you 
@JetBlue she's standing here on her cell no announcements no info #thismosaicnothappy,negative,she s standing here on her cell no announcements no info  thismosaicnothappy
